date,temperature,humidity,pressure,wind_speed,precipitation,season_sin,season_cos,rain
2025-12-31,0.19597989949748754,0.4714285714285714,0.45075757575757724,0.5227272727272727,0.0,0.0,1.0,0
2026-01-01,0.3015075376884422,0.4,0.40151515151515016,0.17727272727272728,0.0,0.0172133562,0.9998518392,0
2026-01-02,0.45728643216080406,0.42857142857142855,0.29545454545454525,0.20909090909090908,0.0,0.0344216116,0.9994074007,0
2026-01-03,0.37688442211055273,0.4714285714285714,0.27272727272727154,0.3409090909090909,0.0,0.0516196672,0.9986668163,0
2026-01-04,0.3015075376884422,0.5571428571428572,0.337121212121213,0.36363636363636365,0.0,0.0688024268,0.9976303053,0
2026-01-05,0.41708542713567837,0.4,0.3712121212121214,0.25,0.0,0.0859647987,0.9962981749,0
2026-01-06,0.7236180904522613,0.07142857142857142,0.31818181818181895,0.04999999999999998,0.0,0.1031016974,0.9946708199,0
2026-01-07,0.9949748743718593,0.0,0.20454545454545475,0.3909090909090909,0.0,0.1202080449,0.9927487225,0
2026-01-08,1.0,0.07142857142857142,0.08333333333333118,0.2636363636363636,0.0,0.1372787721,0.9905324521,0
2026-01-09,0.5527638190954773,0.5,0.05303030303030244,0.45454545454545453,0.0,0.1543088207,0.9880226657,0
2026-01-10,0.25628140703517593,0.4714285714285714,0.39772727272727476,0.7909090909090909,0.0,0.1712931442,0.9852201068,0
2026-01-11,0.23115577889447242,0.5142857142857142,0.5719696969696965,0.4454545454545454,0.0,0.1882267098,0.9821256059,0
2026-01-12,0.2914572864321608,0.4857142857142857,0.42803030303030354,0.33636363636363636,0.0,0.2051044999,0.97874008,0
2026-01-13,0.35678391959799,0.5,0.3106060606060596,0.2863636363636363,0.0,0.221921513,0.9750645323,0
2026-01-14,0.39195979899497485,0.5428571428571428,0.21212121212120977,0.29090909090909095,0.0,0.238672766,0.9711000519,0
2026-01-15,0.27135678391959805,0.6571428571428571,0.3219696969696986,0.7363636363636364,0.6,0.2553532951,0.9668478136,1
2026-01-16,0.3115577889447235,0.6428571428571429,0.30681818181817994,0.5454545454545454,0.0,0.2719581575,0.9623090775,0
2026-01-17,0.4623115577889446,0.4857142857142857,0.17045454545454633,0.2863636363636363,0.0,0.2884824329,0.9574851884,0
2026-01-18,0.7487437185929648,0.21428571428571427,0.06818181818181682,0.1227272727272727,0.0,0.3049212247,0.9523775757,0
2026-01-19,0.5527638190954773,0.45714285714285713,0.09090909090909052,0.5409090909090909,0.0,0.3212696617,0.9469877531,0
2026-01-20,0.48743718592964813,0.5714285714285714,0.1856060606060607,0.5681818181818181,0.1,0.3375228996,0.9413173175,0
2026-01-21,0.29648241206030157,0.5714285714285714,0.32575757575757397,0.6909090909090909,0.0,0.3536761222,0.9353679493,0
2026-01-22,0.30653266331658297,0.34285714285714286,0.40530303030302983,0.36818181818181817,0.0,0.3697245429,0.9291414114,0
2026-01-23,0.6984924623115578,0.014285714285714285,0.22727272727272846,0.29090909090909095,0.0,0.3856634062,0.9226395488,0
2026-01-24,0.9597989949748742,0.0,0.0,0.5318181818181819,0.0,0.4014879892,0.9158642883,0
2026-01-25,0.7035175879396984,0.2714285714285714,0.10227272727272521,0.1909090909090909,0.0,0.4171936026,0.9088176373,0
2026-01-26,0.9748743718592965,0.07142857142857142,0.07575757575757615,0.0818181818181818,0.0,0.4327755926,0.9015016841,0
2026-01-27,1.0,0.05714285714285714,0.06818181818181682,0.6636363636363636,0.0,0.4482293417,0.8939185965,0
2026-01-28,0.5879396984924622,0.44285714285714284,0.34090909090909266,0.4727272727272727,0.0,0.4635502709,0.8860706215,0
2026-01-29,0.7487437185929648,0.24285714285714285,0.3219696969696986,0.45,0.0,0.4787338401,0.8779600847,0
2026-01-30,0.9045226130653266,0.18571428571428572,0.23484848484848347,0.3772727272727272,0.0,0.4937755502,0.8695893893,0
2026-01-31,0.592964824120603,0.45714285714285713,0.22348484848484879,0.43636363636363634,1.3,0.5086709439,0.8609610159,1
2026-02-01,0.27638190954773867,0.4714285714285714,0.5606060606060618,0.6954545454545454,0.0,0.5234156074,0.8520775211,0
2026-02-02,0.28140703517587945,0.2714285714285714,0.6856060606060607,0.1909090909090909,0.0,0.5380051715,0.8429415374,0
2026-02-03,0.5226130653266332,0.05714285714285714,0.5037878787878797,0.1409090909090909,0.0,0.5524353132,0.8335557718,0
2026-02-04,0.5577889447236181,0.02857142857142857,0.44696969696969757,0.14545454545454542,0.0,0.5667017563,0.8239230058,0
2026-02-05,0.4623115577889446,0.38571428571428573,0.5378787878787881,0.3181818181818182,0.1,0.5808002735,0.8140460935,0
2026-02-06,0.4974874371859297,0.38571428571428573,0.48484848484848564,0.21818181818181814,0.0,0.594726687,0.8039279618,0
2026-02-07,0.6231155778894473,0.2571428571428571,0.337121212121213,0.22727272727272727,0.0,0.6084768701,0.793571609,0
2026-02-08,0.5577889447236181,0.5142857142857142,0.3030303030303046,0.2772727272727273,0.0,0.6220467484,0.7829801037,0
2026-02-09,0.507537688442211,0.42857142857142855,0.35227272727272735,0.2681818181818182,0.0,0.6354323009,0.7721565845,0
2026-02-10,0.6984924623115578,0.3,0.2992424242424249,0.0,0.0,0.648629561,0.7611042587,0
2026-02-11,0.5879396984924622,0.42857142857142855,0.1742424242424217,0.5136363636363636,1.1,0.6616346182,0.7498264012,1
2026-02-12,0.18592964824120597,0.45714285714285713,0.4393939393939382,0.6090909090909091,0.0,0.6744436188,0.738326354,0
2026-02-13,0.2613065326633165,0.4,0.492424242424245,0.3909090909090909,0.0,0.6870527672,0.7266075248,0
2026-02-14,0.4522613065326633,0.4,0.42803030303030354,0.13636363636363635,0.0,0.6994583271,0.714673386,0
2026-02-15,0.6984924623115578,0.2857142857142857,0.24999999999999784,0.2772727272727273,0.0,0.7116566223,0.7025274742,0
2026-02-16,0.8994974874371859,0.17142857142857143,0.09469696969697018,0.3727272727272727,0.0,0.7236440383,0.6901733882,0
2026-02-17,0.5025125628140703,0.5142857142857142,0.09848484848484555,0.5409090909090909,0.9,0.735417023,0.677614789,1
2026-02-18,0.28140703517587945,0.5714285714285714,0.3636363636363621,0.23636363636363633,0.0,0.7469720877,0.664855398,0
2026-02-19,0.40201005025125625,0.5857142857142857,0.44696969696969757,0.2,0.0,0.7583058085,0.6518989959,0
2026-02-20,0.6231155778894473,0.3142857142857143,0.3106060606060596,0.2636363636363636,0.0,0.7694148269,0.6387494221,0
2026-02-21,0.5979899497487438,0.4,0.14393939393939295,0.1545454545454545,0.0,0.7802958511,0.625410573,0
2026-02-22,0.4723618090452262,0.6142857142857143,0.045454545454543104,0.3318181818181818,0.9,0.7909456568,0.6118864013,1
2026-02-23,0.35678391959799,0.4714285714285714,0.2575757575757572,0.20909090909090908,0.0,0.8013610882,0.5981809144,0
2026-02-24,0.4623115577889446,0.44285714285714284,0.27272727272727154,0.3409090909090909,0.0,0.811539059,0.5842981736,0
2026-02-25,0.41708542713567837,0.4714285714285714,0.4090909090909095,0.6090909090909091,0.0,0.8214765533,0.5702422927,0
2026-02-26,0.5577889447236181,0.32857142857142857,0.3484848484848477,0.2818181818181818,0.0,0.8311706264,0.5560174367,0
2026-02-27,0.7185929648241206,0.32857142857142857,0.18181818181818105,0.2636363636363636,0.0,0.8406184056,0.5416278207,0
2026-02-28,0.507537688442211,0.9,0.12499999999999892,0.2772727272727273,29.9,0.8498170915,0.5270777086,1
2026-03-01,0.48743718592964813,1.0,0.0037878787878753623,0.3181818181818182,16.0,0.8587639583,0.5123714121,1
2026-03-02,0.28140703517587945,0.8428571428571429,0.2575757575757572,0.5136363636363636,0.1,0.8674563547,0.4975132889,0
2026-03-03,0.19597989949748754,0.7,0.4204545454545442,0.34545454545454546,0.0,0.8758917051,0.4825077418,0
2026-03-04,0.22613065326633164,0.7571428571428571,0.44696969696969757,0.29090909090909095,0.0,0.8840675099,0.4673592172,0
2026-03-05,0.22110552763819105,0.7571428571428571,0.4128787878787892,0.10909090909090907,0.0,0.8919813465,0.4520722039,0
2026-03-06,0.25125628140703515,0.8285714285714286,0.42424242424242387,0.12727272727272726,0.0,0.8996308697,0.436651232,0
2026-03-07,0.27135678391959805,0.7,0.4696969696969713,0.34545454545454546,0.0,0.9070138128,0.4211008708,0
2026-03-08,0.22110552763819105,0.5857142857142857,0.4356060606060629,0.34545454545454546,0.0,0.9141279882,0.4054257284,0
2026-03-09,0.22110552763819105,0.7142857142857143,0.34090909090909266,0.1227272727272727,0.0,0.9209712877,0.3896304495,0
2026-03-10,0.4723618090452262,0.38571428571428573,0.1969696969696954,0.09090909090909091,0.0,0.9275416836,0.3737197148,0
2026-03-11,0.3216080402010051,0.5142857142857142,0.23863636363636315,0.6181818181818182,0.1,0.9338372288,0.3576982388,0
2026-03-12,0.1758793969849246,0.5714285714285714,0.5643939393939414,0.4772727272727273,0.0,0.9398560579,0.3415707692,0
2026-03-13,0.18592964824120597,0.4714285714285714,0.7613636363636368,0.1954545454545454,0.0,0.9455963874,0.3253420847,0
2026-03-14,0.3316582914572865,0.4714285714285714,0.7045454545454547,0.10454545454545454,0.0,0.9510565163,0.3090169944,0
2026-03-15,0.48743718592964813,0.3142857142857143,0.5227272727272737,0.18636363636363634,0.0,0.9562348266,0.2926003356,0
2026-03-16,0.27638190954773867,0.8571428571428571,0.4166666666666688,0.018181818181818157,17.3,0.9611297839,0.2760969731,1
2026-03-17,0.3165829145728643,0.8714285714285714,0.46212121212121193,0.2,1.6,0.9657399377,0.2595117971,1
2026-03-18,0.36683417085427134,0.8857142857142857,0.5416666666666677,0.11363636363636363,2.3,0.9700639219,0.2428497221,1
2026-03-19,0.36180904522613055,0.7857142857142857,0.5530303030303024,0.1227272727272727,0.0,0.9741004552,0.2261156855,0
2026-03-20,0.29648241206030157,0.8571428571428571,0.5492424242424271,0.06363636363636362,0.1,0.9778483415,0.209314646,0
2026-03-21,0.22613065326633164,0.8428571428571429,0.5946969696969702,0.00909090909090906,0.0,0.9813064703,0.192451582,0
2026-03-22,0.3165829145728643,0.7,0.5795454545454558,0.0818181818181818,0.0,0.9844738168,0.1755314904,0
2026-03-23,0.5326633165829145,0.4142857142857143,0.48484848484848564,0.10454545454545454,0.0,0.9873494424,0.1585593851,0
2026-03-24,0.5879396984924622,0.45714285714285713,0.36742424242424176,0.09999999999999996,0.0,0.9899324951,0.1415402952,0
2026-03-25,0.42713567839195976,0.6857142857142857,0.4318181818181832,0.24545454545454548,0.7,0.9922222094,0.1244792639,1
2026-03-26,0.15577889447236187,0.5857142857142857,0.6666666666666666,0.7727272727272727,0.3,0.9942179069,0.1073813467,1
2026-03-27,0.10050251256281406,0.5,0.837121212121213,0.5681818181818181,0.0,0.9959189961,0.09025161,0
2026-03-28,0.15577889447236187,0.7714285714285715,0.7765151515151555,0.16818181818181815,0.6,0.9973249731,0.0730951299,1
2026-03-29,0.2613065326633165,0.6571428571428571,0.6325757575757582,0.15,0.0,0.9984354212,0.0559169901,0
2026-03-30,0.43216080402010054,0.4714285714285714,0.5757575757575761,0.2136363636363636,0.0,0.9992500112,0.0387222809,0
2026-03-31,0.5376884422110552,0.24285714285714285,0.4166666666666688,0.45909090909090905,0.1,0.999768502,0.0215160974,0
2026-04-01,0.30653266331658297,0.7714285714285715,0.5984848484848498,0.1909090909090909,5.2,0.9999907397,0.0043035383,1
2026-04-02,0.18592964824120597,0.7428571428571429,0.7689393939393961,0.09999999999999996,0.0,0.9999166587,-0.0129102961,0
2026-04-03,0.2060301507537689,0.6428571428571429,0.8295454545454537,0.2727272727272727,0.0,0.9995462807,-0.0301203048,0
2026-04-04,0.3165829145728643,0.34285714285714286,0.7159090909090937,0.25,0.0,0.9988797156,-0.0473213883,0
2026-04-05,0.3216080402010051,0.6,0.5719696969696965,0.2545454545454545,9.2,0.9979171609,-0.0645084494,1
2026-04-06,0.3517587939698492,0.8142857142857143,0.4204545454545442,0.2772727272727273,0.7,0.9966589018,-0.0816763953,1
2026-04-07,0.16080402010050246,0.7428571428571429,0.511363636363639,0.29545454545454547,0.3,0.9951053111,-0.0988201387,1
2026-04-08,0.15577889447236187,0.8428571428571429,0.37500000000000105,0.2772727272727273,40.1,0.9932568493,-0.1159345996,1
2026-04-09,0.28643216080402,0.9285714285714286,0.2651515151515165,0.5454545454545454,23.8,0.991114064,-0.1330147065,1
2026-04-10,0.13567839195979903,0.6857142857142857,0.4166666666666688,0.9363636363636364,1.5,0.9886775902,-0.1500553983,1
2026-04-11,0.055276381909547805,0.6571428571428571,0.518939393939394,0.7727272727272727,1.1,0.98594815,-0.1670516255,1
2026-04-12,0.0904522613065327,0.7714285714285715,0.6515151515151523,0.5818181818181818,0.5,0.982926552,-0.1839983517,1
2026-04-13,0.07537688442211055,0.9,0.799242424242425,0.018181818181818157,1.2,0.9796136916,-0.2008905551,1
2026-04-14,0.055276381909547805,0.8714285714285714,0.7651515151515165,0.0818181818181818,0.4,0.9760105506,-0.2177232304,1
2026-04-15,0.09547738693467338,0.8142857142857143,0.6363636363636379,0.03181818181818179,0.0,0.9721181966,-0.2344913896,0
2026-04-16,0.1809045226130654,0.7428571428571429,0.5075757575757593,0.0818181818181818,0.0,0.967937783,-0.2511900639,0
2026-04-17,0.10050251256281406,0.7428571428571429,0.6287878787878786,0.22727272727272727,0.0,0.9634705486,-0.2678143052,0
2026-04-18,0.16080402010050246,0.5,0.6212121212121235,0.3045454545454545,0.0,0.958717817,-0.2843591873,0
2026-04-19,0.30653266331658297,0.6428571428571429,0.6060606060606092,0.2818181818181818,0.4,0.9536809966,-0.3008198076,1
2026-04-20,0.19095477386934676,0.8857142857142857,0.7424242424242428,0.07272727272727271,0.0,0.94836158,-0.3171912886,0
2026-04-21,0.40201005025125625,0.5,0.6590909090909116,0.309090909090909,0.0,0.9427611434,-0.3334687789,0
2026-04-22,0.38693467336683407,0.45714285714285713,0.69318181818182,0.16818181818181815,0.0,0.9368813463,-0.3496474553,0
2026-04-23,0.38693467336683407,0.35714285714285715,0.7613636363636368,0.22272727272727275,0.0,0.930723931,-0.3657225235,0
2026-04-24,0.3718592964824121,0.2714285714285714,0.7689393939393961,0.3409090909090909,0.0,0.9242907222,-0.3816892203,0
2026-04-25,0.41708542713567837,0.3142857142857143,0.6553030303030319,0.40454545454545454,0.0,0.9175836261,-0.3975428143,0
2026-04-26,0.19095477386934676,0.8571428571428571,0.6666666666666666,0.1954545454545454,1.8,0.9106046301,-0.4132786078,1
2026-04-27,0.13567839195979903,0.7714285714285715,0.7462121212121224,0.1409090909090909,0.0,0.9033558023,-0.4288919379,0
2026-04-28,0.2663316582914573,0.6,0.7234848484848487,0.0818181818181818,0.0,0.8958392907,-0.4443781781,0
2026-04-29,0.3718592964824121,0.38571428571428573,0.7424242424242428,0.2545454545454545,0.0,0.8880573226,-0.4597327395,0
2026-04-30,0.4422110552763819,0.21428571428571427,0.6401515151515176,0.3909090909090909,0.0,0.880012204,-0.4749510721,0
2026-05-01,0.5025125628140703,0.22857142857142856,0.45075757575757724,0.6227272727272728,0.0,0.8717063187,-0.4900286664,0
2026-05-02,0.2914572864321608,0.6285714285714286,0.22727272727272846,0.6727272727272727,13.9,0.863142128,-0.5049610547,1
2026-05-03,0.0904522613065327,0.7428571428571429,0.2765151515151512,1.0,8.6,0.8543221697,-0.5197438122,1
2026-05-04,0.09547738693467338,0.8285714285714286,0.4318181818181832,0.6181818181818182,15.3,0.8452490574,-0.5343725583,1
2026-05-05,0.07035175879396986,0.8285714285714286,0.7310606060606081,0.0818181818181818,0.7,0.8359254794,-0.5488429583,1
2026-05-06,0.07537688442211055,0.8428571428571429,0.7537878787878818,0.39545454545454545,2.7,0.8263541987,-0.5631507243,1
2026-05-07,0.005025125628140775,0.6,0.981060606060606,0.5272727272727272,0.0,0.8165380514,-0.5772916166,0
2026-05-08,0.07537688442211055,0.8428571428571429,1.0,0.4772727272727273,0.4,0.8064799463,-0.5912614449,1
2026-05-09,0.040201005025125656,0.9285714285714286,0.9734848484848553,0.09090909090909091,0.0,0.7961828638,-0.6050560696,0
2026-05-10,0.0,0.9,0.9772727272727306,0.10454545454545454,0.0,0.7856498551,-0.6186714033,0
